==18009== NVPROF is profiling process 18009, command: ./01
[Vector addition of 1000 elements]
Copy input data from the host memory to the CUDA device
CUDA kernel launch with 100 blocks of 10 threads
Copy output data from the CUDA device to the host memory
threadIdx:(0, 0, 0) blockIdx:(64, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(17, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(17, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(17, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(17, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(17, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(17, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(17, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(17, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(17, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(17, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(47, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(47, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(47, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(47, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(47, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(47, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(47, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(47, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(47, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(47, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(7, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(7, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(7, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(7, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(7, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(7, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(7, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(7, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(7, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(7, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(3, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(3, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(3, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(3, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(3, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(3, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(3, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(3, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(3, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(3, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(57, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(57, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(57, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(57, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(57, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(57, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(57, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(57, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(57, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(57, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(13, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(13, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(13, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(13, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(13, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(13, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(13, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(13, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(13, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(13, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(43, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(43, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(43, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(43, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(43, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(43, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(43, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(43, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(43, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(43, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(40, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(40, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(40, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(40, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(40, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(40, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(40, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(40, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(40, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(40, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(0, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(0, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(0, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(0, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(0, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(0, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(0, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(0, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(0, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(0, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(10, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(10, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(10, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(10, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(10, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(10, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(10, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(10, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(10, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(10, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(53, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(53, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(53, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(53, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(53, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(53, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(53, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(53, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(53, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(53, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(50, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(50, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(50, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(50, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(50, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(50, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(50, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(50, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(50, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(50, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(16, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(16, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(16, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(16, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(16, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(16, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(16, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(16, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(16, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(16, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(83, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(83, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(83, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(83, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(83, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(83, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(83, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(83, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(83, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(83, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(6, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(6, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(6, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(6, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(6, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(6, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(6, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(6, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(6, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(6, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(80, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(80, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(80, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(80, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(80, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(80, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(80, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(80, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(80, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(80, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(46, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(46, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(46, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(46, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(46, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(46, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(46, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(46, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(46, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(46, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(56, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(56, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(56, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(56, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(56, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(56, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(56, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(56, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(56, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(56, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(97, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(97, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(97, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(97, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(97, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(97, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(97, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(97, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(97, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(97, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(86, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(86, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(86, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(86, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(86, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(86, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(86, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(86, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(86, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(86, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(93, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(93, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(93, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(93, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(93, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(93, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(93, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(93, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(93, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(93, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(96, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(96, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(96, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(96, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(96, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(96, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(96, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(96, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(96, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(96, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(90, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(90, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(90, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(90, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(4, 0, 0) blockIdx:(90, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(5, 0, 0) blockIdx:(90, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(6, 0, 0) blockIdx:(90, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(7, 0, 0) blockIdx:(90, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(8, 0, 0) blockIdx:(90, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(9, 0, 0) blockIdx:(90, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(0, 0, 0) blockIdx:(1, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(1, 0, 0) blockIdx:(1, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(2, 0, 0) blockIdx:(1, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
threadIdx:(3, 0, 0) blockIdx:(1, 0, 0) blockDim:(10, 1, 1) gridDim:(100, 1, 1)
